title,url,document
Support och felanmälan telefoni,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/telefoni/support-och-felanmalan-telefoni,"Support och felanmälan telefoni - del 1/1
Beställningar, felanmälan, information om nyanställda/ändringar läggs som ärende i vår helpdesk. Bifoga blanketten om du behöver göra ändringar och tillägg. Ändringar och tillägg av telefoni, blankett"
Skrivare och nätverk,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/it/skrivare-och-natverk,"Skrivare och nätverk - del 1/2
Skrivare På en del av skrivarna i kommunen finns så kallat follow me. Detta innebär att om du väljer follow me när du skriver ut kan du hämta dina utskrifter i vilken skrivare som helst som är ansluten. Om du inte har någon follow me skrivare i närheten så kontakta IT-service för hjälp. Nätverk Inom Falkenbergs kommun har vi möjlighet att koppla upp oss till olika wifi-nät. Beroende på var du befinner dig kan näten heta olika. Det här är våra nät: Admin Det är samma nät som när man ansluter via kabel. Nätet ska finnas som standard i alla datorer som levereras från IT-service. Surf Surf är vårt gästnät som används för att koppla upp sig mot internet. Nätet kräver inloggning, något du får av IT-service: itservice@falkenberg.se 1-1 1-1 är vårt elevnät 1-1teacher Det här nätet är vårt lärarnät Utb Vårt utbildningsnät, det är samma nät som när man ansluter med kabel i skolorna. FBG-internet I Falkenberg finns det ett antal surfzoner med gratis wifi som du enkelt kan ansluta dig till. Nätverket heter ""FBG-internet"" och du behöver inget lösenord. Läs mer härlänk till annan webbplats Info-tv Trådlöst nät för informationsskärmar."
Skrivare och nätverk,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/it/skrivare-och-natverk,"Skrivare och nätverk - del 2/2
""FBG-internet"" och du behöver inget lösenord. Läs mer härlänk till annan webbplats Info-tv Trådlöst nät för informationsskärmar."
Resor och logi,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/resor,"Resor och logi - del 1/4
Ibland kan du behöva resa i tjänsten. Dock kan många möten eller konferensen ordnas via videokonferens eller telefon. Enligt Falkenbergs kommuns resepolicy ska vi alltid i första hand välja resfritt möte, om möjligt. Så innan du bokar in din resa, undersök möjligheterna för att kunna stanna på arbetsplatsen. Falkenbergs kommuns resepolicy beskriver vad vi som medarbetare har att förhålla oss till när vi behöver resa i tjänsten. Det finns olika typer av färdmedel, men vi ska i första hand välja det mest kostnadseffektiva, säkra och mest miljövänliga sättet att resa. Mötes- och resepolicy Val av färdmedel Falkenbergs kommuns resepolicy beskriver hur vi bör prioritera när vi väljer vårt färdmedel. Vid korta sträckor inom tätorter ska resandet i största möjliga utsträckning ske med cykel eller till fots, framförallt där destinationen vid dessa färdsätt nås inom 15 minuter, undantaget för medarbetare med funktionsnedsättning eller med speciell tjänsteutövning som inte är möjlig med cykel eller kollektivtrafik. Såhär ser prioriterinsgordningen för val av färdmedel ut: Undvik resa. Möten ska i möjligaste mån ske och erbjudas på distans (gäller inte politiska nämndssammanträden). Cykla eller gå om mötet är inom några kilometer och där destinationen kan nås inom 15 minuter. Åk tåg eller buss. Använd poolbil"
Resor och logi,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/resor,"Resor och logi - del 2/4
politiska nämndssammanträden). Cykla eller gå om mötet är inom några kilometer och där destinationen kan nås inom 15 minuter. Åk tåg eller buss. Använd poolbil eller verksamhetsbil. I sista hand, när inget av ovanstående är ett alternativ, kan privat bil användas. Om flera ska använda bil för samma tjänsteresa ska de anställda eller förtroendevalda samåka, om det inte finns uppenbara praktiska hinder. Flyg En tjänsteresa som måste genomföras med flyg ska alltid samrådas med chef. Skäl till att resa med flyg kan vara utlandsresa, resa längre än 60 mil, eller när den totala sammanvägningen inte medger något annat alternativ. Anslutningsresor ska i möjligaste mån ske med kollektivtrafik. Om taxi väljs bör miljöbil beställas. Boka resebiljetter, hotell och logi Falkenbergs kommun har upphandlade avtal för bokning av boende och resor. Om du ska boka boende eller konferensanläggning kan du söka fram upphandlade hotell och kursgårdar i kommunens avtalskatalog. I dessa fall tar du själv direktkontakt med anläggningen. Läs avtalet för resor och hotellbokningar Boka resor med kollektivtrafik Att resa kollektivt är miljövänligt och kostnadseffektivt. Om du inte kan gå eller cykla till ditt resmål bör du i första hand välja att resa kollektivt med buss eller tåg. Hallandstrafiken För lokala resor"
Resor och logi,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/resor,"Resor och logi - del 3/4
inte kan gå eller cykla till ditt resmål bör du i första hand välja att resa kollektivt med buss eller tåg. Hallandstrafiken För lokala resor och resor inom regionen samt till och från Göteborg och Malmö ska Hallandstrafiken användas när detta är möjligt. Varje förvaltning har en företagsadministratör som lägger upp administratörer som möjliggör för dig som medarbetare att betala biljetter köpta i Hallandstrafikens app via Allpay företagsfaktura. Resekortet har utgått i kortform och finns numera bara i app. Nya administratörer ska maila namn, epost, förvaltning/avdelning, fakturareferens till företagsadministratören på er förvaltning så lägger de upp er på Hallandstrafikens webb. Nedan finns manualer för hur man går tillväga, både för administratörer och personal Tågresor Tågresor och övriga resor bokar du via Big Travel i Göteborg enligt upphandlat avtal. Det går också bra att boka resor via SJ . Resa till utlandet Tjänsteresor till utlandet bokas även dessa via Big Travel. Tänk på att traktamente för utlandsresor skiljer sig från traktamenten inom Sverige. Du kan inte ansöka om utlandstraktamente i Personec Själservice, utan du lämnar istället in en speciell blankett till din löneadministratör. Läs mer om traktamenten och hur du går tillväga på sidan Erättningar vid resor"
Resor och logi,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/resor,"Resor och logi - del 4/4
in en speciell blankett till din löneadministratör. Läs mer om traktamenten och hur du går tillväga på sidan Erättningar vid resor"
Bilpool,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/bil-och-cykel,"Bilpool - del 1/2
Du som är anställd i kommunen kan hyra en bil eller cykel ifrån vår pool. Läs i guiden nedan för att ta reda på hur du blir användare, bokar och använder poolen, får behörighet till garaget, tankar bilen med mera. Logga in i bilpoolen Du skapar själv din användare första gången du loggar in i bilpoolssystemet. Det finns olika sätt att hitta inloggningssidan: Du hittar inloggningssidan via ""mina program"" här på intranätet Du kan klicka på länken längre ner på denna sidan. Du kan själv skriva adressen till webbplatsen i adressfältet. Genom att spara sidan som ett bokmärke i din webbläsare Se här hur du sparar egna länkar Boka bil via appen Portify GO När du loggat in via webbsidan kan du ladda ner appen Portify GO för att göra en bokning. Läs mer om appen i guiden Hur fungerar bilpoolen . Grupp på intranätet Bli gärna medlem i vår grupp på intranätet där du kan få löpande information från fordonsenheten. Några snabba om bilpoolen Du kan hämta ut din bil närsomhelst under din bokade tid. Nya munstycken till alkolåset finns i förrådet till höger om porten. Spara ditt munstycke och återanvänd detta flera gånger. Lämna alltid tillbaka bilen med"
Bilpool,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/bil-och-cykel,"Bilpool - del 2/2
tid. Nya munstycken till alkolåset finns i förrådet till höger om porten. Spara ditt munstycke och återanvänd detta flera gånger. Lämna alltid tillbaka bilen med minst halv tank i både gas och bensintanken. Städa ur bilen! Glöm inte lämna tillbaka nyckeln i nyckelskåpet. Kostnaden belastar automatiskt din verksamhet. Uppföljning sker i Poolbilsapporten i Raindance."
Flytt och transport,https://intranet.falkenberg.se/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/flytt-och-transport,"Flytt och transport - del 1/2
Behöver du flytthjälp? Då kan servicegruppen hjälpa dig. Vi hjälper även till med annan transport och körning, samt med grovsopor. Flytthjälp Du kan få hjälp med att flytta nästan allt, till exempel datorutrustning, lager, kontorsmöbler och känslig konst. Efter flytten återvinner vi skräp och gammal inredning. Det du inte kan få hjälp med är tyngre saker över 50 kilo, till exempel säkerhetsskåp. Då får du istället kontakta en extern flyttfirma som utför tunga lyft. Kontakta oss gärna så tidigt som möjligt. Då kan vi ge dig bästa service och se till att dina saker hamnar på sin rätta plats. Använd vår e-tjänst så hör vi av oss så snart vi kan. Transport, medicinkörning, grovsopshantering Servicegruppen hjälper även till med: transporter och mattransporter grovsopshantering medicinkörning. Kontakta oss Om din verksamhet behöver hjälp kan du kontakta oss på servicegruppen@falkenberg.se . Om servicegruppen Servicegruppen är en kommunal arbetsträningsplats för personer mellan 16-64 år. Under en arbetsträning förbereder en person sig på olika arbetssituationer utan några krav på prestation. Vad förberedelsen innebär är olika från person till person eftersom vi anpassar träningen efter varje individs förutsättningar. Det kan även handla om att träna på att befinna sig i ett socialt sammanhang med andra personer."
